fiyat,yil,marka,seri,model,kilometre,vites_tipi,yakit_tipi,cekis,yakit_deposu,motor_hacmi,motor_gucu,boyali_parca,degisen_parca
158,415000,2015,Seat,Ibiza ST 1.4 16V Style,Ibiza,98500,Düz,Benzinli/LPG,Önden Çekiş,45.0,1.39,85.0,3,0
159,300000,2000,Honda,1.6i VTEC ES 110 Ps Sedan,Civic,194759,Düz,Benzinli/LPG,Önden Çekiş,50.0,1.59,109.0,6,4
160,497500,2020,Peugeot,1.5 BlueHDI Active 102 Ps Sedan,301,38893,Düz,Dizel,Önden Çekiş,50.0,1.499,100.0,3,1
161,475000,2021,Fiat,1.4 Fire Easy Plus 95 Ps Sedan,Egea,45218,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,0,0
162,604000,2021,Fiat,1.6 MultiJet Premio Plus 120 Ps Combi,Doblo,128902,Düz,Dizel,Önden Çekiş,60.0,1.598,118.0,0,0
163,438000,2017,Fiat,1.6 16V MultiJet II Urban Plus 120 Ps Station Wago,Egea,104666,Düz,Dizel,Önden Çekiş,50.0,1.598,118.0,0,3
164,800000,2020,Fiat,1.3 MultiJet Urban Plus 95 Ps Sedan,Egea,49698,Düz,Dizel,Önden Çekiş,45.0,1.248,94.0,0,0
165,470000,2020,Fiat,1.3 MultiJet Urban Plus 95 Ps Sedan,Egea,97570,Düz,Dizel,Önden Çekiş,45.0,1.248,94.0,0,0
166,680000,2017,Nissan,1.5 DCI Visia 110 Ps SUV,Qashqai,96188,Düz,Dizel,Önden Çekiş,55.0,1.461,108.0,0,0
167,560000,2019,Renault,1.5 DCI Touch 90 Ps Hatchback,Clio,84420,Düz,Dizel,Önden Çekiş,45.0,1.461,89.0,1,0
168,412000,2021,Fiat,1.3 MultiJet Safeline 95 Ps Combi,Fiorino,26716,Düz,Dizel,,45.0,1.248,94.0,0,0
169,445000,2020,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,11399,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,1,2
170,440900,2021,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,17201,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,0,0
171,485000,2022,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,6154,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,0,0
172,485000,2022,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,6013,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,0,0
173,475000,2020,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,24859,Düz,Benzinli/LPG,Önden Çekiş,45.0,1.368,94.0,2,0
174,445000,2021,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,21650,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,0,0
175,425000,2020,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,29166,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,0,0
176,501500,2019,Fiat,1.4 16V Fire Urban Plus 95 Ps Hatchback,Egea,63857,Düz,Benzinli/LPG,Önden Çekiş,50.0,1.368,94.0,2,2
177,265000,2016,Fiat,1.3 MultiJet Pop ESP 75 Ps Combi,Fiorino,259917,Düz,Dizel,,45.0,1.248,74.0,3,0
178,540000,2022,Fiat,1.4 Fire Urban 95 Ps Sedan,Egea,15257,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,0,0
179,460000,2021,Fiat,1.3 MultiJet Premio 95 Ps Combi,Fiorino,18000,Düz,Dizel,,45.0,1.248,94.0,0,0
180,500000,2017,Fiat,1.4 Fire Premio 77 Ps Combi,Fiorino,7786,Düz,Benzinli,,45.0,1.368,76.0,0,0
181,461500,2022,Fiat,1.4 Fire Premio 77 Ps Combi,Fiorino,12719,Düz,Benzinli,,,1.368,76.0,0,0
