,fiyat,yil,marka,seri,model,kilometre,vites_tipi,yakit_tipi,cekis,yakit_deposu,motor_hacmi,motor_gucu,boya_degisen,boyali_parca,degisen_parca
692,337500,2014.0,Citroen,C-Elysee,1.6 HDi Exclusive,144.0,Düz,Dizel,Önden Çekiş,48.0,1560.0,93.0,2 boyalı,2,0
693,205000,2005.0,Fiat,Palio,1.3 Multijet Dynamic,199.0,Düz,Dizel,Önden Çekiş,51.0,1248.0,70.0,,0,0
694,105000,1994.0,Tofaş,Doğan,SLX,140.0,Düz,LPG & Benzin,Arkadan İtiş,,1581.0,83.0,,0,0
695,255000,2012.0,Volkswagen,Polo,1.2 TDi Trendline,258.0,Düz,Dizel,Önden Çekiş,45.0,1199.0,75.0,7 boyalı,7,0
696,155000,2001.0,Renault,R 19,1.6 Europa RTE,220.0,Düz,LPG & Benzin,Önden Çekiş,,,,,0,0
697,540000,2020.0,Fiat,Egea,1.4 Fire Urban Plus,18.0,Düz,Benzin,Önden Çekiş,50.0,1368.0,95.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
698,295000,2011.0,Renault,Symbol,1.5 dCi Expression,195.0,Düz,Dizel,Önden Çekiş,50.0,1461.0,85.0,,0,0
699,1150000,2015.0,Mercedes - Benz,C,C 200 d BlueTEC AMG,128.5,Otomatik,Dizel,Arkadan İtiş,41.0,1598.0,136.0,,0,0
700,83000,1997.0,Renault,R 19,1.4 Europa RT,248.0,Düz,Benzin,Takasa Uygun,,,,,0,0
701,612000,2015.0,Volkswagen,Jetta,1.6 TDi Comfortline,163.0,Yarı Otomatik,Dizel,Önden Çekiş,55.0,1598.0,105.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
702,218000,2008.0,Fiat,Linea,1.3 Multijet Active,314.0,Düz,Dizel,Önden Çekiş,45.0,1248.0,90.0,,0,0
703,255000,2001.0,Opel,Astra,1.6 Elegance,191.0,Düz,LPG & Benzin,Önden Çekiş,52.0,1598.0,100.0,"1 değişen, 5 boyalı",5,1
704,430000,2006.0,BMW,3 Serisi,316i Standart,253.0,Düz,Benzin,Arkadan İtiş,63.0,1796.0,116.0,4 boyalı,4,0
705,195000,1998.0,Opel,Corsa,1.4 Swing,256.0,Düz,LPG & Benzin,Önden Çekiş,42.0,1389.0,90.0,,0,0
706,95000,1992.0,Opel,Astra,1.4 GL,330.0,Düz,LPG & Benzin,Önden Çekiş,,1389.0,60.0,,0,0
707,817500,2016.0,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,112.5,Yarı Otomatik,Dizel,Önden Çekiş,66.0,1598.0,120.0,1 boyalı,1,0
708,137000,2001.0,Peugeot,206,1.6 Roland Garros,186.0,Düz,LPG & Benzin,Önden Çekiş,50.0,1587.0,89.0,,0,0
709,1300000,2017.0,Mercedes - Benz,C,C 200 d BlueTEC Exclusive,108.0,Otomatik,Dizel,Arkadan İtiş,41.0,1598.0,136.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
710,860000,2020.0,Honda,Civic,1.6 i-VTEC ECO Elegance,50.0,Otomatik,LPG & Benzin,Önden Çekiş,46.0,1597.0,125.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
711,709000,2016.0,Volkswagen,Passat,1.6 TDi BlueMotion Trendline,265.0,Yarı Otomatik,Dizel,Önden Çekiş,66.0,1598.0,120.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
712,417500,2014.0,Renault,Clio,1.5 dCi GT Line,122.0,Düz,Dizel,Önden Çekiş,45.0,1461.0,90.0,3 boyalı,3,0
713,352000,2011.0,Hyundai,Accent Era,1.4 Team,125.0,Otomatik,LPG & Benzin,Önden Çekiş,45.0,1399.0,97.0,,0,0
714,375000,2014.0,Ford,Fiesta,1.0 GTDi Titanium,120.0,Yarı Otomatik,Benzin,Önden Çekiş,42.0,999.0,100.0,,0,0
715,120000,1991.0,Mazda,323,1.6 GLX,358.0,Otomatik,LPG & Benzin,,,,,,0,0
716,122000,1996.0,Fiat,Tipo,1.6 SX,125.0,Düz,LPG & Benzin,Önden Çekiş,,1581.0,75.0,,0,0
717,365000,2013.0,Fiat,Punto,1.4 Easy S&S,130.0,Yarı Otomatik,Benzin,Önden Çekiş,45.0,1368.0,77.0,2 boyalı,2,0
718,170000,2000.0,Opel,Vectra,2.0 100.Yıl,324.0,Düz,LPG & Benzin,Önden Çekiş,60.0,1998.0,136.0,"1 değişen, 11 boyalı",11,1
